prop_name,monthly_rent,location,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Laman Tasik,2100.0,Kuala Lumpur - Cheras,4.0,1.0,3.0,1300,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",None,Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,1300.0,Kuala Lumpur - KL City,3.0,1.0,2.0,805,Partially Furnished,"Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart",None,Kuala Lumpur
The Hamilton,2600.0,Kuala Lumpur - Wangsa Maju,4.0,2.0,2.0,1000,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium",None,Kuala Lumpur
3 Towers,2000.0,Kuala Lumpur - Ampang Hilir,1.0,1.0,1.0,440,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",None,Kuala Lumpur
Menjalara 18,2500.0,Kuala Lumpur - Bandar Menjalara,5.0,2.0,3.0,1600,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Havre @ Bukit Jalil,2500.0,Kuala Lumpur - Bukit Jalil,3.0,2.0,2.0,1028,Fully Furnished,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
M3 Residency,1600.0,Kuala Lumpur - Setapak,3.0,1.0,2.0,950,Partially Furnished,None,None,Kuala Lumpur
Majestic Maxim,1400.0,Kuala Lumpur - Cheras,2.0,2.0,2.0,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
D'Puncak Suasana,1000.0,Kuala Lumpur - KLCC,3.0,2.0,2.0,1000,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
KL Traders Square Residences,1400.0,Kuala Lumpur - Gombak,3.0,1.0,2.0,850,Not Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
